IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.89.102,2095,2095,false,SIN,Asia Pacific,Singapore,272,3.06
8.222.224.163,80,80,false,SIN,Asia Pacific,Singapore,61,3.06
8.222.164.44,2053,2053,true,SIN,Asia Pacific,Singapore,50,3.05
8.222.237.131,80,80,false,SIN,Asia Pacific,Singapore,71,3.05
8.222.238.141,2053,2053,true,SIN,Asia Pacific,Singapore,152,3.05
8.219.210.226,2086,2086,false,SIN,Asia Pacific,Singapore,81,3.05
8.219.198.139,80,80,false,SIN,Asia Pacific,Singapore,60,3.05
8.222.145.110,2086,2086,false,SIN,Asia Pacific,Singapore,50,3.04
8.222.167.8,8080,8080,false,SIN,Asia Pacific,Singapore,93,3.04
47.236.150.109,8080,8080,false,SIN,Asia Pacific,Singapore,55,3.04
47.236.19.51,8080,8080,false,SIN,Asia Pacific,Singapore,55,3.03
8.222.215.228,2095,2095,false,SIN,Asia Pacific,Singapore,57,3.03
8.219.167.65,2053,2053,true,SIN,Asia Pacific,Singapore,57,3.03
47.245.89.102,8880,8880,false,SIN,Asia Pacific,Singapore,139,3.03
47.236.123.133,8443,8443,true,SIN,Asia Pacific,Singapore,66,3.02
47.236.123.133,2086,2086,false,SIN,Asia Pacific,Singapore,55,3.02
47.236.15.73,2053,2053,true,SIN,Asia Pacific,Singapore,147,3.02
47.236.94.109,8080,8080,false,SIN,Asia Pacific,Singapore,130,3.02
8.222.227.191,2095,2095,false,SIN,Asia Pacific,Singapore,51,3.01
8.222.154.227,8880,8880,false,SIN,Asia Pacific,Singapore,108,3.01
8.222.129.32,2082,2082,false,SIN,Asia Pacific,Singapore,193,3.01
47.236.94.109,2083,2083,true,SIN,Asia Pacific,Singapore,52,3.01
8.222.221.197,2083,2083,true,SIN,Asia Pacific,Singapore,58,3.00
47.236.97.90,2083,2083,true,SIN,Asia Pacific,Singapore,50,3.00
8.222.160.61,8880,8880,false,SIN,Asia Pacific,Singapore,52,3.00
8.222.145.164,80,80,false,SIN,Asia Pacific,Singapore,98,3.00
47.236.5.223,2082,2082,false,SIN,Asia Pacific,Singapore,75,2.99
47.236.83.239,80,80,false,SIN,Asia Pacific,Singapore,167,2.99
8.219.0.162,2083,2083,true,SIN,Asia Pacific,Singapore,56,2.98
