IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.69.215.14,2052,2052,false,SIN,Asia Pacific,Singapore,50,3.28
138.2.92.11,8443,8443,true,SIN,Asia Pacific,Singapore,57,3.19
158.178.242.56,8080,8080,false,SIN,Asia Pacific,Singapore,248,3.18
151.145.66.219,2052,2052,false,NRT,Asia Pacific,Tokyo,98,3.15
168.138.185.28,8443,8443,true,SIN,Asia Pacific,Singapore,230,3.09
140.238.29.117,443,80,false,SIN,Asia Pacific,Singapore,72,3.08
158.178.242.56,2087,2087,true,SIN,Asia Pacific,Singapore,54,3.05
138.2.92.11,2086,2086,false,SIN,Asia Pacific,Singapore,56,2.94
152.70.106.13,2052,2052,false,NRT,Asia Pacific,Tokyo,113,2.93
131.186.46.75,2082,2082,false,NRT,Asia Pacific,Tokyo,98,2.91
152.69.215.14,2087,2087,true,SIN,Asia Pacific,Singapore,51,2.90
138.2.92.11,2053,2053,true,SIN,Asia Pacific,Singapore,272,2.89
213.35.98.197,2082,2082,false,SIN,Asia Pacific,Singapore,253,2.88
158.178.242.5,8880,8880,false,SIN,Asia Pacific,Singapore,62,2.81
158.178.242.5,2086,2086,false,SIN,Asia Pacific,Singapore,61,2.79
158.179.178.142,8880,8880,false,NRT,Asia Pacific,Tokyo,80,2.73
131.186.58.151,2095,2095,false,NRT,Asia Pacific,Tokyo,102,2.65
158.178.242.56,2052,2052,false,SIN,Asia Pacific,Singapore,253,2.63
138.2.104.2,2053,2053,true,SIN,Asia Pacific,Singapore,298,2.60
141.147.179.64,2095,2095,false,NRT,Asia Pacific,Tokyo,99,2.60
151.145.71.40,2082,2082,false,NRT,Asia Pacific,Tokyo,103,2.56
158.178.242.5,2053,2053,true,SIN,Asia Pacific,Singapore,51,2.50
131.186.37.69,2096,2096,true,NRT,Asia Pacific,Tokyo,96,2.49
158.101.137.96,8880,8880,false,NRT,Asia Pacific,Tokyo,98,2.46
132.145.122.95,2086,2086,false,NRT,Asia Pacific,Tokyo,104,2.45
213.35.98.197,8080,8080,false,SIN,Asia Pacific,Singapore,51,2.42
158.179.189.235,80,80,false,NRT,Asia Pacific,Tokyo,99,2.41
140.238.19.2,443,80,false,HKG,Asia Pacific,Hong Kong,86,2.41
