IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
131.186.58.151,2083,2083,true,NRT,Asia Pacific,Tokyo,105,2.40
158.179.186.251,2083,2083,true,SIN,Asia Pacific,Singapore,176,2.39
131.186.58.151,8880,8880,false,NRT,Asia Pacific,Tokyo,98,2.39
158.179.188.175,2052,2052,false,NRT,Asia Pacific,Tokyo,88,2.37
141.147.178.202,2083,2083,true,HKG,Asia Pacific,Hong Kong,161,2.36
168.138.185.28,2083,2083,true,SIN,Asia Pacific,Singapore,238,2.36
141.147.169.131,2083,2083,true,NRT,Asia Pacific,Tokyo,87,2.33
131.186.46.75,2096,2096,true,NRT,Asia Pacific,Tokyo,96,2.32
138.2.104.2,2086,2086,false,SIN,Asia Pacific,Singapore,52,2.27
131.186.37.49,2082,2082,false,SIN,Asia Pacific,Singapore,159,2.27
158.101.137.96,2096,2096,true,NRT,Asia Pacific,Tokyo,94,2.26
168.138.185.28,8880,8880,false,SIN,Asia Pacific,Singapore,232,2.23
141.147.169.131,8880,8880,false,NRT,Asia Pacific,Tokyo,101,2.21
158.178.246.169,2052,2052,false,SIN,Asia Pacific,Singapore,50,2.21
158.179.189.235,8080,8080,false,NRT,Asia Pacific,Tokyo,99,2.20
151.145.71.40,2087,2087,true,NRT,Asia Pacific,Tokyo,103,2.19
131.186.41.82,8080,8080,false,NRT,Asia Pacific,Tokyo,96,2.15
131.186.41.82,2053,2053,true,NRT,Asia Pacific,Tokyo,103,2.14
151.145.69.174,8080,8080,false,HKG,Asia Pacific,Hong Kong,158,2.10
140.83.37.200,2052,2052,false,SIN,Asia Pacific,Singapore,179,2.10
158.179.189.235,2086,2086,false,NRT,Asia Pacific,Tokyo,89,2.09
141.147.169.131,2086,2086,false,NRT,Asia Pacific,Tokyo,93,2.08
131.186.37.69,2083,2083,true,NRT,Asia Pacific,Tokyo,108,2.07
141.147.169.131,80,80,false,NRT,Asia Pacific,Tokyo,98,2.06
141.147.174.7,8443,8443,true,KIX,Asia Pacific,Osaka,143,2.05
141.147.186.210,8880,8880,false,HKG,Asia Pacific,Hong Kong,146,2.03
141.147.182.70,8080,8080,false,NRT,Asia Pacific,Tokyo,97,2.03
132.145.125.165,2095,2095,false,NRT,Asia Pacific,Tokyo,98,2.01
131.186.45.88,8443,8443,true,HKG,Asia Pacific,Hong Kong,258,1.99
140.238.61.78,8443,8443,true,SIN,Asia Pacific,Singapore,164,1.98
131.186.44.38,80,80,false,SIN,Asia Pacific,Singapore,181,1.97
138.2.92.11,8880,8880,false,SIN,Asia Pacific,Singapore,266,1.97
158.179.188.175,2096,2096,true,NRT,Asia Pacific,Tokyo,99,1.97
151.145.71.40,2053,2053,true,NRT,Asia Pacific,Tokyo,99,1.94
151.145.71.40,8080,8080,false,NRT,Asia Pacific,Tokyo,95,1.93
141.147.182.70,2086,2086,false,NRT,Asia Pacific,Tokyo,90,1.93
152.69.215.14,2086,2086,false,SIN,Asia Pacific,Singapore,211,1.92
158.179.180.233,2087,2087,true,NRT,Asia Pacific,Tokyo,98,1.92
151.145.74.56,80,80,false,HKG,Asia Pacific,Hong Kong,263,1.91
131.186.62.26,2087,2087,true,SIN,Asia Pacific,Singapore,180,1.89
152.69.215.14,2096,2096,true,SIN,Asia Pacific,Singapore,232,1.89
131.186.61.45,2053,2053,true,HKG,Asia Pacific,Hong Kong,269,1.88
138.2.104.2,2096,2096,true,SIN,Asia Pacific,Singapore,61,1.88
131.186.34.244,2096,2096,true,SIN,Asia Pacific,Singapore,177,1.87
151.145.69.174,2095,2095,false,SIN,Asia Pacific,Singapore,183,1.87
138.2.6.15,2052,2052,false,HKG,Asia Pacific,Hong Kong,148,1.86
131.186.61.45,2095,2095,false,SIN,Asia Pacific,Singapore,171,1.86
158.179.178.145,8080,8080,false,NRT,Asia Pacific,Tokyo,98,1.86
151.145.65.203,2083,2083,true,SIN,Asia Pacific,Singapore,175,1.84
131.186.63.184,8443,8443,true,HKG,Asia Pacific,Hong Kong,164,1.84
168.138.185.28,2052,2052,false,SIN,Asia Pacific,Singapore,52,1.84
151.145.71.40,2096,2096,true,NRT,Asia Pacific,Tokyo,102,1.83
152.70.106.13,2087,2087,true,NRT,Asia Pacific,Tokyo,99,1.82
151.145.65.8,8880,8880,false,NRT,Asia Pacific,Tokyo,114,1.80
138.2.104.2,2087,2087,true,SIN,Asia Pacific,Singapore,53,1.78
158.179.186.138,8880,8880,false,SIN,Asia Pacific,Singapore,165,1.78
158.178.242.5,80,80,false,SIN,Asia Pacific,Singapore,255,1.78
151.145.68.166,2086,2086,false,HKG,Asia Pacific,Hong Kong,185,1.76
158.179.189.106,2053,2053,true,SIN,Asia Pacific,Singapore,183,1.75
132.145.123.14,8880,8880,false,NRT,Asia Pacific,Tokyo,108,1.75
141.147.189.242,8443,8443,true,SIN,Asia Pacific,Singapore,168,1.75
131.186.34.244,2087,2087,true,SIN,Asia Pacific,Singapore,174,1.74
131.186.47.255,8443,8443,true,SIN,Asia Pacific,Singapore,178,1.73
151.145.71.40,2083,2083,true,NRT,Asia Pacific,Tokyo,86,1.73
132.145.125.165,8880,8880,false,NRT,Asia Pacific,Tokyo,99,1.73
168.138.185.28,80,80,false,SIN,Asia Pacific,Singapore,62,1.72
158.179.189.235,8880,8880,false,NRT,Asia Pacific,Tokyo,120,1.71
151.145.66.219,2096,2096,true,NRT,Asia Pacific,Tokyo,81,1.69
141.147.179.64,8880,8880,false,NRT,Asia Pacific,Tokyo,102,1.69
158.179.186.138,2052,2052,false,SIN,Asia Pacific,Singapore,188,1.68
158.179.182.19,2086,2086,false,HKG,Asia Pacific,Hong Kong,266,1.67
213.35.98.197,80,80,false,SIN,Asia Pacific,Singapore,56,1.67
158.179.188.7,2095,2095,false,SIN,Asia Pacific,Singapore,164,1.66
131.186.34.244,2086,2086,false,SIN,Asia Pacific,Singapore,183,1.66
158.179.186.251,8443,8443,true,HKG,Asia Pacific,Hong Kong,165,1.66
131.186.63.184,2052,2052,false,SIN,Asia Pacific,Singapore,165,1.64
158.179.180.233,2095,2095,false,NRT,Asia Pacific,Tokyo,106,1.64
150.230.201.39,2096,2096,true,NRT,Asia Pacific,Tokyo,106,1.64
158.179.176.239,2096,2096,true,HKG,Asia Pacific,Hong Kong,161,1.64
132.145.122.95,2095,2095,false,NRT,Asia Pacific,Tokyo,97,1.63
150.230.201.39,2053,2053,true,NRT,Asia Pacific,Tokyo,114,1.63
131.186.36.248,2053,2053,true,SIN,Asia Pacific,Singapore,181,1.63
152.69.215.14,8443,8443,true,SIN,Asia Pacific,Singapore,265,1.61
158.179.178.145,2052,2052,false,NRT,Asia Pacific,Tokyo,99,1.60
151.145.69.174,2083,2083,true,HKG,Asia Pacific,Hong Kong,254,1.60
131.186.59.232,8080,8080,false,HKG,Asia Pacific,Hong Kong,158,1.59
151.145.74.56,2082,2082,false,HKG,Asia Pacific,Hong Kong,161,1.58
141.147.169.131,8080,8080,false,NRT,Asia Pacific,Tokyo,96,1.57
141.147.189.242,8880,8880,false,HKG,Asia Pacific,Hong Kong,156,1.57
151.145.69.105,2052,2052,false,HKG,Asia Pacific,Hong Kong,157,1.57
158.179.176.239,8443,8443,true,SIN,Asia Pacific,Singapore,187,1.56
131.186.58.151,8080,8080,false,NRT,Asia Pacific,Tokyo,97,1.54
151.145.71.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,159,1.54
158.179.188.7,8880,8880,false,HKG,Asia Pacific,Hong Kong,163,1.53
141.147.178.202,2087,2087,true,SIN,Asia Pacific,Singapore,162,1.52
158.179.186.251,2095,2095,false,HKG,Asia Pacific,Hong Kong,246,1.52
151.145.70.28,2083,2083,true,HKG,Asia Pacific,Hong Kong,156,1.50
138.2.104.2,2082,2082,false,SIN,Asia Pacific,Singapore,52,1.49
131.186.35.189,8080,8080,false,NRT,Asia Pacific,Tokyo,99,1.49
141.147.168.13,2053,2053,true,SIN,Asia Pacific,Singapore,176,1.49
158.179.186.234,2096,2096,true,HKG,Asia Pacific,Hong Kong,155,1.49
131.186.44.38,2083,2083,true,HKG,Asia Pacific,Hong Kong,150,1.48
131.186.38.135,8443,8443,true,HKG,Asia Pacific,Hong Kong,151,1.47
158.179.189.106,8880,8880,false,KIX,Asia Pacific,Osaka,112,1.47
213.35.98.197,2096,2096,true,SIN,Asia Pacific,Singapore,251,1.44
158.179.180.233,8080,8080,false,NRT,Asia Pacific,Tokyo,104,1.44
138.2.92.11,2083,2083,true,SIN,Asia Pacific,Singapore,288,1.44
151.145.69.105,8880,8880,false,HKG,Asia Pacific,Hong Kong,166,1.43
158.179.188.175,8080,8080,false,NRT,Asia Pacific,Tokyo,91,1.42
158.179.186.234,8080,8080,false,SIN,Asia Pacific,Singapore,175,1.41
131.186.36.248,2052,2052,false,SIN,Asia Pacific,Singapore,163,1.39
158.179.186.251,2052,2052,false,HKG,Asia Pacific,Hong Kong,153,1.39
138.2.21.31,80,80,false,HKG,Asia Pacific,Hong Kong,171,1.39
158.178.242.56,8880,8880,false,SIN,Asia Pacific,Singapore,52,1.38
158.179.176.239,8880,8880,false,SIN,Asia Pacific,Singapore,173,1.38
158.179.190.253,80,80,false,KIX,Asia Pacific,Osaka,101,1.37
158.179.188.159,8080,8080,false,SIN,Asia Pacific,Singapore,175,1.36
141.147.162.204,8880,8880,false,SIN,Asia Pacific,Singapore,176,1.34
158.179.186.251,80,80,false,HKG,Asia Pacific,Hong Kong,151,1.34
140.83.37.200,2087,2087,true,SIN,Asia Pacific,Singapore,178,1.34
151.145.65.8,80,80,false,NRT,Asia Pacific,Tokyo,93,1.34
140.238.61.78,2052,2052,false,HKG,Asia Pacific,Hong Kong,264,1.33
141.147.169.131,2053,2053,true,NRT,Asia Pacific,Tokyo,96,1.32
151.145.64.170,8880,8880,false,SIN,Asia Pacific,Singapore,174,1.32
151.145.71.127,8080,8080,false,HKG,Asia Pacific,Hong Kong,264,1.32
132.145.122.95,2087,2087,true,NRT,Asia Pacific,Tokyo,102,1.31
131.186.61.45,2082,2082,false,SIN,Asia Pacific,Singapore,177,1.31
141.147.174.7,2096,2096,true,HKG,Asia Pacific,Hong Kong,297,1.31
158.179.186.138,2087,2087,true,SIN,Asia Pacific,Singapore,179,1.30
141.147.182.70,2095,2095,false,NRT,Asia Pacific,Tokyo,85,1.30
158.179.186.234,8880,8880,false,SIN,Asia Pacific,Singapore,173,1.30
158.179.188.7,2083,2083,true,SIN,Asia Pacific,Singapore,192,1.29
158.178.242.56,8443,8443,true,SIN,Asia Pacific,Singapore,245,1.28
131.186.47.223,8880,8880,false,SIN,Asia Pacific,Singapore,156,1.28
131.186.60.162,2095,2095,false,HKG,Asia Pacific,Hong Kong,155,1.27
158.178.242.5,8443,8443,true,SIN,Asia Pacific,Singapore,261,1.27
152.69.215.14,8880,8880,false,SIN,Asia Pacific,Singapore,256,1.26
131.186.44.38,8443,8443,true,HKG,Asia Pacific,Hong Kong,156,1.26
131.186.62.26,2082,2082,false,HKG,Asia Pacific,Hong Kong,280,1.26
158.179.176.239,2086,2086,false,HKG,Asia Pacific,Hong Kong,274,1.26
131.186.58.151,2086,2086,false,NRT,Asia Pacific,Tokyo,84,1.25
158.179.183.2,2053,2053,true,HKG,Asia Pacific,Hong Kong,266,1.25
131.186.38.135,8880,8880,false,SIN,Asia Pacific,Singapore,169,1.25
141.147.178.202,8080,8080,false,SIN,Asia Pacific,Singapore,187,1.24
158.179.189.106,2052,2052,false,HKG,Asia Pacific,Hong Kong,169,1.24
141.147.169.131,2052,2052,false,NRT,Asia Pacific,Tokyo,100,1.24
131.186.63.184,2096,2096,true,SIN,Asia Pacific,Singapore,181,1.23
151.145.65.8,2086,2086,false,NRT,Asia Pacific,Tokyo,100,1.22
158.179.182.19,2052,2052,false,SIN,Asia Pacific,Singapore,168,1.22
158.179.186.138,2095,2095,false,SIN,Asia Pacific,Singapore,182,1.22
151.145.74.56,2095,2095,false,SIN,Asia Pacific,Singapore,163,1.22
158.178.242.5,8080,8080,false,SIN,Asia Pacific,Singapore,264,1.21
131.186.44.38,2087,2087,true,HKG,Asia Pacific,Hong Kong,261,1.21
141.147.189.242,80,80,false,SIN,Asia Pacific,Singapore,181,1.21
158.179.186.234,2082,2082,false,HKG,Asia Pacific,Hong Kong,157,1.20
131.186.47.255,2096,2096,true,HKG,Asia Pacific,Hong Kong,148,1.20
158.179.186.234,80,80,false,SIN,Asia Pacific,Singapore,171,1.19
141.147.169.131,2082,2082,false,NRT,Asia Pacific,Tokyo,95,1.19
141.147.186.210,2083,2083,true,HKG,Asia Pacific,Hong Kong,153,1.18
158.179.189.235,2052,2052,false,NRT,Asia Pacific,Tokyo,101,1.18
131.186.61.45,8880,8880,false,SIN,Asia Pacific,Singapore,181,1.18
151.145.71.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,268,1.18
131.186.59.94,8080,8080,false,HKG,Asia Pacific,Hong Kong,155,1.17
158.179.190.253,2082,2082,false,SIN,Asia Pacific,Singapore,176,1.16
141.147.186.210,2095,2095,false,SIN,Asia Pacific,Singapore,180,1.16
64.110.91.3,8443,443,true,ICN,Asia Pacific,Seoul,87,1.16
131.186.47.223,2095,2095,false,HKG,Asia Pacific,Hong Kong,157,1.15
131.186.61.45,2086,2086,false,HKG,Asia Pacific,Hong Kong,171,1.13
131.186.63.35,80,80,false,HKG,Asia Pacific,Hong Kong,170,1.13
158.179.189.106,2082,2082,false,HKG,Asia Pacific,Hong Kong,158,1.13
158.179.188.175,2086,2086,false,NRT,Asia Pacific,Tokyo,96,1.12
193.123.57.35,443,443,true,FRA,Europe,Frankfurt,179,1.12
141.147.189.242,8080,8080,false,SIN,Asia Pacific,Singapore,180,1.12
151.145.75.28,2053,2053,true,NRT,Asia Pacific,Tokyo,98,1.10
158.180.84.48,443,443,true,ICN,Asia Pacific,Seoul,146,1.09
141.147.162.204,2095,2095,false,SIN,Asia Pacific,Singapore,162,1.08
151.145.71.127,2083,2083,true,HKG,Asia Pacific,Hong Kong,259,1.08
158.178.246.169,8080,8080,false,SIN,Asia Pacific,Singapore,246,1.08
131.186.36.248,2086,2086,false,KIX,Asia Pacific,Osaka,119,1.07
158.178.246.169,2086,0,false,SIN,Asia Pacific,Singapore,54,1.07
138.2.104.2,80,80,false,SIN,Asia Pacific,Singapore,268,1.06
158.179.188.159,2082,2082,false,SIN,Asia Pacific,Singapore,176,1.05
131.186.37.191,2087,2087,true,KIX,Asia Pacific,Osaka,108,1.05
131.186.58.151,80,80,false,NRT,Asia Pacific,Tokyo,101,1.05
131.186.47.223,8443,8443,true,SIN,Asia Pacific,Singapore,165,1.04
158.178.242.56,80,80,false,SIN,Asia Pacific,Singapore,258,1.04
158.179.182.19,80,80,false,HKG,Asia Pacific,Hong Kong,250,1.04
131.186.45.88,2087,2087,true,HKG,Asia Pacific,Hong Kong,265,1.04
151.145.71.127,2095,2095,false,SIN,Asia Pacific,Singapore,177,1.03
141.147.179.64,2086,2086,false,NRT,Asia Pacific,Tokyo,102,1.02
151.145.70.28,8080,8080,false,SIN,Asia Pacific,Singapore,174,1.02
131.186.45.88,2082,2082,false,HKG,Asia Pacific,Hong Kong,263,1.02
151.145.65.203,2087,2087,true,HKG,Asia Pacific,Hong Kong,147,1.02
151.145.65.8,2052,2052,false,NRT,Asia Pacific,Tokyo,97,1.01
138.2.21.31,8443,8443,true,SIN,Asia Pacific,Singapore,185,1.01
158.179.176.239,2053,2053,true,HKG,Asia Pacific,Hong Kong,159,1.01
151.145.69.105,2053,2053,true,HKG,Asia Pacific,Hong Kong,171,1.01
158.101.137.96,2083,2083,true,NRT,Asia Pacific,Tokyo,89,1.00
151.145.65.203,2053,2053,true,HKG,Asia Pacific,Hong Kong,158,0.98
138.2.6.15,2096,2096,true,SIN,Asia Pacific,Singapore,176,0.98
141.147.189.242,2095,2095,false,HKG,Asia Pacific,Hong Kong,150,0.98
131.186.44.38,2053,2053,true,HKG,Asia Pacific,Hong Kong,145,0.98
131.186.37.49,2086,2086,false,SIN,Asia Pacific,Singapore,167,0.97
141.147.186.210,8443,8443,true,SIN,Asia Pacific,Singapore,172,0.97
131.186.38.135,80,80,false,HKG,Asia Pacific,Hong Kong,160,0.96
151.145.71.127,2053,2053,true,SIN,Asia Pacific,Singapore,171,0.94
131.186.63.35,2083,2083,true,HKG,Asia Pacific,Hong Kong,268,0.94
151.145.69.174,2053,2053,true,KIX,Asia Pacific,Osaka,96,0.93
141.147.168.159,2095,2095,false,SIN,Asia Pacific,Singapore,170,0.93
158.179.189.235,2083,2083,true,NRT,Asia Pacific,Tokyo,127,0.92
158.179.186.138,8443,8443,true,SIN,Asia Pacific,Singapore,178,0.92
131.186.37.49,2087,2087,true,SIN,Asia Pacific,Singapore,160,0.92
151.145.65.203,8880,8880,false,SIN,Asia Pacific,Singapore,174,0.92
131.186.47.223,8080,8080,false,SIN,Asia Pacific,Singapore,164,0.90
138.2.6.15,2095,2095,false,HKG,Asia Pacific,Hong Kong,264,0.90
141.147.168.159,2082,2082,false,HKG,Asia Pacific,Hong Kong,159,0.90
158.179.188.159,2086,2086,false,HKG,Asia Pacific,Hong Kong,149,0.88
158.179.188.159,80,80,false,SIN,Asia Pacific,Singapore,177,0.87
158.179.186.138,2053,2053,true,SIN,Asia Pacific,Singapore,180,0.86
151.145.69.105,2095,2095,false,HKG,Asia Pacific,Hong Kong,156,0.86
140.238.61.78,8880,8880,false,SIN,Asia Pacific,Singapore,176,0.86
158.179.176.239,2083,2083,true,HKG,Asia Pacific,Hong Kong,161,0.85
150.230.201.39,2087,2087,true,NRT,Asia Pacific,Tokyo,86,0.84
151.145.70.28,2095,2095,false,HKG,Asia Pacific,Hong Kong,271,0.83
158.178.246.169,2082,0,false,SIN,Asia Pacific,Singapore,245,0.80
141.147.174.7,2095,2095,false,SIN,Asia Pacific,Singapore,173,0.80
141.147.178.202,2053,2053,true,SIN,Asia Pacific,Singapore,157,0.79
158.179.188.7,2082,2082,false,HKG,Asia Pacific,Hong Kong,170,0.78
151.145.64.170,2086,2086,false,HKG,Asia Pacific,Hong Kong,263,0.77
158.178.242.5,2083,2083,true,SIN,Asia Pacific,Singapore,51,0.76
131.186.35.189,8880,8880,false,NRT,Asia Pacific,Tokyo,95,0.75
138.2.92.11,8080,8080,false,SIN,Asia Pacific,Singapore,63,0.74
131.186.45.88,8080,8080,false,SIN,Asia Pacific,Singapore,179,0.74
131.186.63.184,80,80,false,HKG,Asia Pacific,Hong Kong,152,0.72
131.186.61.45,80,80,false,SIN,Asia Pacific,Singapore,185,0.72
158.179.178.145,2086,2086,false,NRT,Asia Pacific,Tokyo,98,0.71
131.186.59.94,2096,2096,true,HKG,Asia Pacific,Hong Kong,271,0.71
158.179.183.2,8880,8880,false,HKG,Asia Pacific,Hong Kong,142,0.71
141.147.174.7,2087,2087,true,HKG,Asia Pacific,Hong Kong,142,0.70
131.186.46.75,2095,2095,false,NRT,Asia Pacific,Tokyo,93,0.69
151.145.65.8,2083,2083,true,NRT,Asia Pacific,Tokyo,86,0.68
131.186.47.255,8080,8080,false,SIN,Asia Pacific,Singapore,168,0.68
158.179.191.14,2082,2082,false,NRT,Asia Pacific,Tokyo,101,0.67
131.186.34.11,2087,2087,true,KIX,Asia Pacific,Osaka,107,0.67
158.179.188.7,8080,8080,false,HKG,Asia Pacific,Hong Kong,256,0.66
158.179.178.145,80,80,false,NRT,Asia Pacific,Tokyo,89,0.66
141.147.182.70,2083,2083,true,NRT,Asia Pacific,Tokyo,88,0.65
131.186.47.223,2052,2052,false,HKG,Asia Pacific,Hong Kong,155,0.65
141.147.183.96,2052,2052,false,HKG,Asia Pacific,Hong Kong,172,0.63
158.179.188.7,2052,2052,false,HKG,Asia Pacific,Hong Kong,263,0.63
138.2.92.11,80,80,false,SIN,Asia Pacific,Singapore,53,0.62
141.147.179.64,2082,2082,false,NRT,Asia Pacific,Tokyo,95,0.62
141.147.168.159,2087,2087,true,HKG,Asia Pacific,Hong Kong,155,0.62
158.178.246.169,2095,2095,false,SIN,Asia Pacific,Singapore,89,0.62
150.230.201.39,80,80,false,NRT,Asia Pacific,Tokyo,103,0.61
131.186.37.49,8080,8080,false,SIN,Asia Pacific,Singapore,178,0.61
131.186.63.35,2086,2086,false,HKG,Asia Pacific,Hong Kong,161,0.60
131.186.44.38,2052,2052,false,SIN,Asia Pacific,Singapore,156,0.59
151.145.69.174,2096,2096,true,SIN,Asia Pacific,Singapore,178,0.59
151.145.65.8,2082,2082,false,NRT,Asia Pacific,Tokyo,101,0.56
141.147.179.64,2052,2052,false,NRT,Asia Pacific,Tokyo,88,0.54
158.179.180.233,2086,2086,false,NRT,Asia Pacific,Tokyo,98,0.54
141.147.162.204,2083,2083,true,HKG,Asia Pacific,Hong Kong,262,0.53
152.69.215.14,80,80,false,SIN,Asia Pacific,Singapore,51,0.52
151.145.70.28,8443,8443,true,HKG,Asia Pacific,Hong Kong,265,0.52
138.2.92.11,2052,2052,false,SIN,Asia Pacific,Singapore,262,0.52
131.186.37.191,8080,8080,false,SIN,Asia Pacific,Singapore,159,0.51
131.186.37.49,8443,8443,true,SIN,Asia Pacific,Singapore,178,0.51
152.70.106.13,2086,2086,false,NRT,Asia Pacific,Tokyo,86,0.48
131.186.59.94,2086,2086,false,SIN,Asia Pacific,Singapore,171,0.48
141.147.182.70,80,80,false,NRT,Asia Pacific,Tokyo,101,0.39
131.186.38.135,2095,2095,false,HKG,Asia Pacific,Hong Kong,263,0.39
131.186.34.11,2083,2083,true,SIN,Asia Pacific,Singapore,175,0.34
131.186.60.162,8880,8880,false,SIN,Asia Pacific,Singapore,174,0.32
131.186.60.162,80,80,false,SIN,Asia Pacific,Singapore,173,0.22
158.179.176.239,2087,2087,true,KIX,Asia Pacific,Osaka,117,0.21
213.35.98.197,2087,2087,true,SIN,Asia Pacific,Singapore,251,0.20
132.145.122.95,80,80,false,NRT,Asia Pacific,Tokyo,95,0.20
213.35.98.197,2083,2083,true,SIN,Asia Pacific,Singapore,256,0.14
150.230.201.39,2052,2052,false,NRT,Asia Pacific,Tokyo,100,0.00
141.147.182.70,2082,2082,false,NRT,Asia Pacific,Tokyo,105,0.00
158.178.242.5,2052,2052,false,SIN,Asia Pacific,Singapore,60,0.00
158.179.188.175,8443,8443,true,NRT,Asia Pacific,Tokyo,101,0.00
158.179.180.233,8443,8443,true,NRT,Asia Pacific,Tokyo,92,0.00
